SNO.,YEAR,AGE,OUTCOME,AGECAT,GENDER,LOC
181,2020,17,1,1,0,1
182,2020,17,1,1,0,1
183,2020,17,1,1,0,1
184,2020,17,1,1,0,1
185,2020,17,1,1,0,1
186,2020,17,1,1,0,1
187,2020,17,1,1,0,1
188,2020,17,1,1,0,1
189,2020,17,1,1,0,1
190,2020,17,1,1,0,1
191,2020,17,1,1,0,1
192,2020,17,1,1,0,1
193,2020,17,1,1,0,1
194,2020,17,1,1,0,1
195,2020,17,1,1,0,1
196,2020,17,1,1,0,1
197,2020,17,1,1,0,1
198,2020,17,1,1,0,1
199,2020,17,1,1,0,1
200,2020,17,1,1,0,1
201,2020,17,1,1,0,1
202,2020,17,1,1,0,1
203,2020,17,1,1,0,1
204,2020,17,1,1,0,1
205,2020,17,1,1,0,1
206,2020,17,1,1,0,1
207,2020,17,1,1,0,1
208,2020,17,1,1,0,1
209,2020,17,1,1,0,1
210,2020,17,1,1,0,1
211,2020,17,1,1,0,1
212,2020,17,1,1,0,1
213,2020,17,1,1,0,1
214,2020,17,1,1,0,1
215,2020,17,1,1,0,1
216,2020,17,1,1,0,1
217,2020,17,1,1,0,1
218,2020,17,1,1,0,1
219,2020,17,1,1,0,1
220,2020,17,1,1,0,1
221,2020,17,1,1,0,1
222,2020,17,1,1,0,1
223,2020,17,1,1,0,1
224,2020,17,1,1,0,1
225,2020,17,1,1,0,1
226,2020,17,1,1,0,1
227,2020,17,1,1,0,1
228,2020,17,1,1,0,1
229,2020,17,1,1,0,1
230,2020,17,1,1,0,1
231,2020,17,1,1,0,1
232,2020,17,1,1,0,1
233,2020,17,1,1,0,1
234,2020,17,1,1,0,1
235,2020,17,1,1,0,1
236,2020,17,1,1,0,1
237,2020,17,1,1,0,1
238,2020,17,1,1,0,1
239,2020,17,1,1,0,1
240,2020,17,1,1,0,1
241,2020,17,1,1,0,1
242,2020,17,1,1,0,1
243,2020,17,1,1,0,1
244,2020,17,1,1,0,1
245,2020,17,1,1,0,1
246,2020,17,1,1,0,1
247,2020,17,1,1,0,1
248,2020,17,1,1,0,1
249,2020,17,1,1,0,1
250,2020,17,1,1,0,1
